com.samsung.shealth.exercise.program_schedule,6302031,3
duration,planned_date,state_update_time,week_info_id,custom,pace_info_id,day_info_id,update_time,create_time,state_updated_by,program_id,state,distance,deviceuuid,pkg_name,tracker_id,workout_day,program_info_id,datauuid
1800,2025-03-12 22:30:00.000,2025-01-14 03:46:44.047,,a2f4bd19-40d7-4833-b1ef-edaa634d6031.custom.json,110100823,,2025-01-14 03:46:44.545,2025-01-14 03:46:44.545,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3413.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,a2f4bd19-40d7-4833-b1ef-edaa634d6031,
0,2025-03-18 22:30:00.000,2025-01-14 03:46:44.053,,6edbb465-11c0-48e6-a3b7-ff41382bd1ee.custom.json,0,,2025-01-14 03:46:44.588,2025-01-14 03:46:44.588,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,6edbb465-11c0-48e6-a3b7-ff41382bd1ee,
0,2025-03-13 22:30:00.000,2025-01-14 03:46:44.047,,9ed3eba1-8c97-4759-8141-98df27b5d00b.custom.json,0,,2025-01-14 03:46:44.566,2025-01-14 03:46:44.566,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,9ed3eba1-8c97-4759-8141-98df27b5d00b,
2400,2025-03-26 22:30:00.000,2025-01-14 03:46:44.056,,48519095-0b85-4a8f-ae6d-cc85de14ea6f.custom.json,110101029,,2025-01-14 03:46:44.601,2025-01-14 03:46:44.601,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,4980.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,48519095-0b85-4a8f-ae6d-cc85de14ea6f,
1800,2025-03-10 22:30:00.000,2025-01-14 03:46:44.047,,19da7728-ea8d-4a1e-a906-0aaa970d1901.custom.json,110100822,,2025-01-14 03:46:44.539,2025-01-14 03:46:44.539,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,3413.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,19da7728-ea8d-4a1e-a906-0aaa970d1901,
0,2025-03-16 22:30:00.000,2025-01-14 03:46:44.053,,6c4d9200-3f4e-48d0-b460-3c65d5850cbe.custom.json,0,,2025-01-14 03:46:44.574,2025-01-14 03:46:44.574,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,6c4d9200-3f4e-48d0-b460-3c65d5850cbe,
2100,2025-03-17 22:30:00.000,2025-01-14 03:46:44.053,,86660e41-ae2e-414a-b880-89008e257791.custom.json,110100925,,2025-01-14 03:46:44.586,2025-01-14 03:46:44.586,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,4163.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,86660e41-ae2e-414a-b880-89008e257791,
0,2025-03-20 22:30:00.000,2025-01-14 03:46:44.053,,43e145b8-1d25-4216-8389-98f62d03c1ef.custom.json,0,,2025-01-14 03:46:44.591,2025-01-14 03:46:44.591,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,43e145b8-1d25-4216-8389-98f62d03c1ef,
0,2025-03-25 22:30:00.000,2025-01-14 03:46:44.056,,c1243b4f-bedb-4f31-a3fe-bf6445fa3895.custom.json,0,,2025-01-14 03:46:44.598,2025-01-14 03:46:44.598,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,c1243b4f-bedb-4f31-a3fe-bf6445fa3895,
2400,2025-03-28 22:30:00.000,2025-01-14 03:46:44.057,,8c5ae0ea-0e36-428d-b160-868aa2cb23f6.custom.json,110101030,,2025-01-14 03:46:44.607,2025-01-14 03:46:44.607,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,4980.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,8c5ae0ea-0e36-428d-b160-868aa2cb23f6,
