com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2025-01-26 18:30:00.000,,,1,,2025-01-27 04:04:13.685,2025-01-27 04:04:13.685,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-27 18:29:59.999,c5b932a6-4871-4c49-89ce-34b9ddd99c9d,
1,2025-01-30 18:30:00.000,,,1,,2025-02-01 02:33:13.134,2025-02-01 02:33:13.134,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-31 18:29:59.999,75c5eab8-8cba-485a-bd28-f67e40c4c5f8,
1,2025-02-01 18:30:00.000,,,1,,2025-02-02 04:04:19.723,2025-02-02 04:04:19.723,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-02-02 18:29:59.999,6a548ee2-5e84-4b29-8fb3-e850fa026fec,
101664,2025-07-16 23:01:23.467,1002,,1,,2025-07-19 03:19:57.152,2024-10-24 18:44:16.530,,running_100K_accumulated,,1,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,4d6a34f6-c40b-4c4e-9183-bb462adb732f,tracker.exercise,2025-07-16 23:23:21.382,5fb25c24-9642-45b7-bfb7-5fa85c8e6ead,
203802,2024-03-01 16:30:05.605,11007,,1,,2025-07-19 03:19:57.181,2024-10-24 18:44:16.991,,cycling_goal_200K_accumulated,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,2d61ecb1-ede7-44ba-8a0a-7eb85b12b85f,tracker.exercise,2024-03-01 16:53:22.569,16e31613-0275-4027-8be3-1199d76896a3,
803751,2024-09-09 04:12:33.192,11007,,1,,2025-07-19 03:19:57.255,2024-10-24 18:44:17.377,,cycling_goal_800K_accumulated,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,c71a5286-3743-42c4-a2d5-5d6d0507981b,tracker.exercise,2024-09-09 04:29:34.301,fbf5ce1c-d4e5-4903-9b9d-a97800c8b453,
1398291,2025-07-19 03:19:51.283,11007,,2,,2025-07-19 03:19:57.303,2024-10-24 18:44:17.488,,cycling_goal_1500K_accumulated,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,c8a8d97f-d6f2-4913-99bb-dd4ba2612544,tracker.exercise,2025-07-19 03:19:57.283,45ba0635-54d6-4197-86d6-961bc00c7ae0,
1,2025-02-03 18:30:00.000,,,1,,2025-02-04 03:46:46.187,2025-02-04 03:46:46.187,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-02-04 18:29:59.999,01ce10ea-f463-4296-84a1-eb5c18c71189,
,2025-02-04 00:00:00.000,,,1,,2025-02-04 03:46:54.411,2025-02-04 03:46:54.411,,vitality_excellent,,,UTC+0000,,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.vitality,2025-02-04 00:00:00.000,add8d031-7479-4bc5-a42e-6c28149be6a2,
0,2024-11-13 00:00:00.000,,,0,,2025-07-18 06:01:01.004,2024-11-13 18:30:00.702,,water_7_days_streak,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.water,2024-11-13 23:59:59.999,82f4af93-c460-4a73-8cd2-b108f682a605,
