com.samsung.shealth.program.sleep_coaching.mission,6302031,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,null,,,2022-04-14 03:46:07.442,2022-03-22 04:10:30.874,1,23,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,9e56aeeb-851e-43a9-baa7-1cccccb52c82,1,
,["SP_SVY1_ANS_06"],,,2022-04-14 03:46:22.928,2022-03-22 04:10:30.874,1,22,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,f331059f-a52b-4017-b74d-c866e152fe3d,1,
,null,,,2022-04-15 03:00:21.303,2022-03-22 04:10:30.874,1,24,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,9fe282af-9ac7-4e36-8980-86992c6973b0,1,
,["SP_SVY1_ANS_06"],,,2022-04-15 15:16:05.640,2022-03-22 04:10:30.874,1,24,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,7cb62798-25e6-4229-af3b-25d793fd8e65,1,
,null,,,2022-04-15 15:16:12.426,2022-03-22 04:10:30.875,1,24,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,bb50c9e0-554a-4a66-a320-9f48d1a9df9c,1,
,null,,,2022-04-15 13:46:03.650,2022-03-22 04:10:30.875,1,24,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,0569d1e7-e7f8-40a7-b7c5-ccb04b39e172,1,
,null,,,2022-04-16 04:10:19.029,2022-03-22 04:10:30.875,1,25,SP_MSN_12,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,72bb55fc-c9d4-4d1c-93f0-ac656b2b74f6,1,
,null,,,2022-04-16 15:44:54.905,2022-03-22 04:10:30.875,1,25,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,b73d17e8-deda-4ead-8cf4-d3801e159d0d,1,
,null,,,2022-04-17 15:31:17.956,2022-03-22 04:10:30.875,1,25,SP_MSN_18,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,6e90c61f-4ad0-4249-96f1-a63aadd81558,1,
,null,,,2022-04-17 15:31:02.932,2022-03-22 04:10:30.875,1,25,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ffceea42-c864-430c-b20e-e2455bce391c,1,
,null,,,2022-04-17 15:31:00.730,2022-03-22 04:10:30.875,1,25,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,ccb51a60-bc3d-4b03-84ed-80d5e5fe7746,1,
,["SP_SVY1_ANS_06"],,,2022-04-17 15:30:53.971,2022-03-22 04:10:30.875,1,25,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d375ce9c-3eb0-48cc-8a4c-982e5741ec86,1,
,null,,,2022-04-19 11:21:31.432,2022-03-22 04:10:30.876,1,26,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,a7e7f016-f637-4d1d-8f9b-56dadfcaa1d4,1,
,null,,,2022-04-19 11:21:39.616,2022-03-22 04:10:30.876,1,27,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,41721064-5a86-4282-bd56-e339e5670f1c,1,
,["SP_SVY1_ANS_06"],,,2022-04-19 11:21:37.556,2022-03-22 04:10:30.876,1,27,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,8e8f09b3-f247-43a2-9b7e-f1abd040d8c0,1,
,null,,,2022-04-19 11:21:24.483,2022-03-22 04:10:30.875,1,26,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,27955043-1f35-4dcb-968f-c96d7ed2e7cc,1,
,["SP_SVY1_ANS_06"],,,2022-04-19 11:21:22.107,2022-03-22 04:10:30.875,1,26,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,a28ec0ad-3e3d-4483-92c1-05529532869c,1,
,null,,,2022-04-19 11:21:29.078,2022-03-22 04:10:30.876,1,26,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,434f04cc-4f6d-4cc0-b044-8473f61f0a1e,1,
,null,,,2022-04-19 11:21:43.234,2022-03-22 04:10:30.876,1,27,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,b04e5d8b-1748-4e03-acc4-a4369b7914db,1,
