com.samsung.shealth.food_favorite,6302031,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,8ee8378c-2228-4f62-b6ea-d65d64174fd9,b4c577de-79c0-4971-b01a-22abf0198219,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,313c85c0-612c-4c11-afb1-fd05e592354b,77f70ec2-e3d5-4541-9368-d036e4e9e990,
0.0,2,2024-08-06 16:48:12.952,2024-08-06 16:48:12.952,f85feac9-f72d-48cc-9307-3e7b7aa2f698,,f85feac9-f72d-48cc-9307-3e7b7aa2f698,0.0,EmOHuC/o0o,com.sec.android.app.shealth,70e5017f-4c75-4a98-a310-4d257e925506,9a1d5c4a-e019-4f2f-8767-aa944edaff34,
0.0,2,2024-08-07 05:11:34.569,2024-08-07 05:11:34.569,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,0.0,EmOHuC/o0o,com.sec.android.app.shealth,07d81a07-a508-47c3-be62-180dbda93aa3,18897b5c-c9e3-484c-9ed7-3a75894dfd15,
0.0,2,2024-08-07 05:11:34.569,2024-08-07 05:11:34.569,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,0.0,EmOHuC/o0o,com.sec.android.app.shealth,5f6a12fc-8f39-4fb6-9d89-40cc8dab97ed,fbeac5f4-38d2-47da-8663-a1fb69d814dd,
0.0,2,2024-08-07 05:11:34.569,2024-08-07 05:11:34.569,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,0.0,EmOHuC/o0o,com.sec.android.app.shealth,87880e29-5382-4e1b-a500-8441cbfc9d96,49569d06-432e-46cb-81ac-fe16021d35ad,
0.0,2,2024-08-07 05:11:34.569,2024-08-07 05:11:34.569,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,0.0,EmOHuC/o0o,com.sec.android.app.shealth,272c26ba-f949-4cad-a1c4-5cbeef388cbe,1eca1fc4-89d9-42e9-8df5-a1e27afd7c3d,
0.0,2,2024-08-07 05:11:34.569,2024-08-07 05:11:34.569,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,,e26dee0b-1281-4fcb-af9c-0b4a8a7b39d9,0.0,EmOHuC/o0o,com.sec.android.app.shealth,ab38ae4d-2c44-4c68-ae11-4168fecea8de,2fd6390e-f4fd-4e49-b1cb-be5a2032c086,
0.0,2,2024-08-07 17:23:24.961,2024-08-07 17:23:24.961,5074cac6-1782-4c67-a75d-9c997292c7b7,,5074cac6-1782-4c67-a75d-9c997292c7b7,0.0,EmOHuC/o0o,com.sec.android.app.shealth,4b7b3925-644b-4f9e-a77b-c256660579c9,824d9232-743e-4e68-a44a-9a556eb815eb,
0.0,2,2024-08-07 17:24:28.215,2024-08-07 17:24:28.215,7362a2e8-a840-426f-96ac-279e13c65bfc,,7362a2e8-a840-426f-96ac-279e13c65bfc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,7c21dc06-feb8-4abe-8766-91d885d6d145,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2024-08-07 17:24:28.215,2024-08-07 17:24:28.215,7362a2e8-a840-426f-96ac-279e13c65bfc,,7362a2e8-a840-426f-96ac-279e13c65bfc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,e5259537-12fc-4cd9-9032-57488c52ec18,5f659cb0-9d34-4233-8aad-fe054793b06d,
0.0,2,2024-08-07 17:30:02.110,2024-08-07 17:30:02.110,9539201c-f4ee-43fc-b75b-ed3e1dcdb4c3,,9539201c-f4ee-43fc-b75b-ed3e1dcdb4c3,0.0,EmOHuC/o0o,com.sec.android.app.shealth,5d81906a-0122-4980-aac8-185c302061ac,04981a66-62ae-4a92-bd8e-9ca681cff81a,
