com.samsung.shealth.activity.day_summary,6302031,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,2301,,3512398,90,2034949,,2021-11-26 03:32:05.756,,2021-11-03 18:30:00.646,,,,-1,1050696,63,,,,9521.604,,402.22815,bb94f7de-377e-4ad5-9b78-5861e8ec9b1c.extra_data.json,Rju+KmA1Z1,0,com.sec.android.app.shealth,1477449,21600000,bb94f7de-377e-4ad5-9b78-5861e8ec9b1c,2021-11-04 00:00:00.000,
,,,,3071,,2027450,90,0,,2021-11-26 03:32:07.184,,2021-11-20 18:30:00.681,,,,-1,60000,36,,,,2344.573,,127.24983,8d449faf-efa0-43d2-bfab-d7ca513e04c8.extra_data.json,Rju+KmA1Z1,13200,com.sec.android.app.shealth,2014250,9599999,8d449faf-efa0-43d2-bfab-d7ca513e04c8,2021-11-21 00:00:00.000,
,,,,4570,,3030220,90,0,,2021-11-26 03:32:06.178,,2021-11-07 18:30:00.708,,,,-1,60000,55,,,,3606.021,,192.41003,26114c26-db1f-41a4-8bc3-a5cbe1ffe95c.extra_data.json,Rju+KmA1Z1,8800,com.sec.android.app.shealth,3021420,18420000,26114c26-db1f-41a4-8bc3-a5cbe1ffe95c,2021-11-08 00:00:00.000,
,,,,3066,,2032206,90,0,,2021-11-26 03:32:06.787,,2021-11-15 18:30:00.584,,,,-1,60000,36,,,,2365.9868,,138.51016,2f25354d-a7ce-49d0-bbca-fc3e35356f19.extra_data.json,Rju+KmA1Z1,19200,com.sec.android.app.shealth,2013006,30360000,2f25354d-a7ce-49d0-bbca-fc3e35356f19,2021-11-16 00:00:00.000,
,,,,8980,,5487774,90,0,,2021-11-26 03:32:07.381,,2021-11-26 03:30:51.961,,,,-1,823298,101,,,,7032.688,,392.4924,ac900f9d-bb2e-4098-b389-a8ac9006de0d.extra_data.json,Rju+KmA1Z1,5200,com.sec.android.app.shealth,5482574,35580000,ac900f9d-bb2e-4098-b389-a8ac9006de0d,2021-11-24 00:00:00.000,
,,,,5385,,3597075,90,0,,2021-11-26 03:32:06.618,,2021-11-12 18:30:00.694,,,,-1,821629,65,,,,4041.2043,,305.4857,72150c82-e7e9-45f5-8568-b5b5b34ee8d4.extra_data.json,Rju+KmA1Z1,4000,com.sec.android.app.shealth,3593075,17040000,72150c82-e7e9-45f5-8568-b5b5b34ee8d4,2021-11-13 00:00:00.000,
,,,,4988,,2989728,90,0,,2021-11-27 02:19:26.350,,2021-11-26 03:30:50.639,,,,-1,240000,54,,,,3916.9656,,217.01683,18138b2d-dea3-44c4-a81e-4e0bf26c583c.extra_data.json,Rju+KmA1Z1,87205,com.sec.android.app.shealth,2902523,21000000,18138b2d-dea3-44c4-a81e-4e0bf26c583c,2021-11-26 00:00:00.000,
,,,,8905,,5068957,90,0,,2021-11-27 17:20:54.256,,2021-11-26 18:30:00.711,,,,-1,1056298,93,,,,6541.7217,,385.1103,6703c826-31db-470b-bd37-5663c6723a8e.extra_data.json,Rju+KmA1Z1,20698,com.sec.android.app.shealth,5048259,12120000,6703c826-31db-470b-bd37-5663c6723a8e,2021-11-27 00:00:00.000,
,,,,3284,,2094216,90,0,,2021-11-29 02:09:14.720,,2021-11-27 18:30:00.696,,,,-1,60000,37,,,,2483.1323,,133.85466,9472e3ef-7ebf-471a-89af-8fb9914298d8.extra_data.json,Rju+KmA1Z1,1200,com.sec.android.app.shealth,2093016,16320000,9472e3ef-7ebf-471a-89af-8fb9914298d8,2021-11-28 00:00:00.000,
,,,,6536,,4038578,90,0,,2021-12-01 04:36:00.987,,2021-11-29 18:30:00.620,,,,-1,1982923,74,,,,4745.4014,,348.45853,0dd15311-595d-4958-abbc-29d9936ab9aa.extra_data.json,Rju+KmA1Z1,3200,com.sec.android.app.shealth,4035378,19560000,0dd15311-595d-4958-abbc-29d9936ab9aa,2021-11-30 00:00:00.000,
