com.samsung.shealth.step_daily_trend,6302031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
4f8d669e-ad32-4399-bfd5-5b75f461cf89.binning_data.json,2022-03-21 17:49:32.403,2022-03-21 17:49:32.403,com.sec.android.app.shealth,-2,5416,1.4684812,4231.1235,231.16522,VfS0qUERdZ,com.sec.android.app.shealth,4f8d669e-ad32-4399-bfd5-5b75f461cf89,1634601600000,
02599725-f600-4483-9151-9f9010fc1749.binning_data.json,2022-03-21 17:49:32.389,2022-03-21 17:49:32.389,com.sec.android.app.shealth,0,867,1.3743603,675.02216,35.79272,EmOHuC/o0o,com.sec.android.app.shealth,02599725-f600-4483-9151-9f9010fc1749,1644364800000,
fcfe1d5f-599a-499d-9376-f5192e2d9d44.binning_data.json,2022-03-21 17:49:32.398,2022-03-21 17:49:32.398,com.sec.android.app.shealth,0,3268,1.3184153,2493.291,136.48651,EmOHuC/o0o,com.sec.android.app.shealth,fcfe1d5f-599a-499d-9376-f5192e2d9d44,1646870400000,
45409b4d-404d-4070-9d9d-ce497518acf8.binning_data.json,2022-03-21 17:49:32.402,2022-03-21 17:49:32.402,com.sec.android.app.shealth,-2,4817,1.4507014,3782.1206,206.70357,VfS0qUERdZ,com.sec.android.app.shealth,45409b4d-404d-4070-9d9d-ce497518acf8,1634256000000,
c5f7cb67-8762-413d-8f5a-4869934eb9f4.binning_data.json,2022-03-21 17:49:32.412,2022-03-21 17:49:32.412,com.sec.android.app.shealth,-2,7411,1.5137256,5715.0137,285.26724,VfS0qUERdZ,com.sec.android.app.shealth,c5f7cb67-8762-413d-8f5a-4869934eb9f4,1640217600000,
e01bba11-f831-4f55-b0ad-ab4205856c80.binning_data.json,2022-03-21 17:49:32.388,2022-03-21 17:49:32.388,com.sec.android.app.shealth,0,6401,1.9345208,4942.5283,265.57434,EmOHuC/o0o,com.sec.android.app.shealth,e01bba11-f831-4f55-b0ad-ab4205856c80,1644105600000,
093badc3-c8c6-4db7-a435-408c38a6eee4.binning_data.json,2022-03-21 17:49:32.385,2022-03-21 17:49:32.385,com.sec.android.app.shealth,0,690,1.334224,529.53625,28.744238,EmOHuC/o0o,com.sec.android.app.shealth,093badc3-c8c6-4db7-a435-408c38a6eee4,1642896000000,
91149971-55a2-47e8-8091-6b0f7502bdaf.binning_data.json,2022-03-21 17:49:32.360,2022-03-21 17:49:32.360,com.sec.android.app.shealth,0,2301,1.565272,1821.6625,101.50593,EmOHuC/o0o,com.sec.android.app.shealth,91149971-55a2-47e8-8091-6b0f7502bdaf,1637884800000,
768a0f31-9ddb-4d11-bb25-ab0cb1e59f40.binning_data.json,2022-03-21 17:49:32.379,2022-03-21 17:49:32.379,com.sec.android.app.shealth,0,2147,1.3117723,1656.5459,91.31659,EmOHuC/o0o,com.sec.android.app.shealth,768a0f31-9ddb-4d11-bb25-ab0cb1e59f40,1640476800000,
03882964-48d4-40c2-aae6-1f7dbf71ea1d.binning_data.json,2022-03-21 17:49:32.394,2022-03-21 17:49:32.394,com.sec.android.app.shealth,0,2939,1.384276,2249.5547,122.83017,EmOHuC/o0o,com.sec.android.app.shealth,03882964-48d4-40c2-aae6-1f7dbf71ea1d,1644796800000,
